method=U-Net + FA-DCG V2a, seed=2024
epoch=0, train_loss=0.429023, val_miou=0.745004, val_dice=0.834961, infer_ms=2.831
epoch=1, train_loss=0.365230, val_miou=0.540583, val_dice=0.593791, infer_ms=2.576
epoch=2, train_loss=0.344844, val_miou=0.777993, val_dice=0.871237, infer_ms=2.581
epoch=3, train_loss=0.314241, val_miou=0.651990, val_dice=0.745716, infer_ms=2.581
epoch=4, train_loss=0.307737, val_miou=0.511731, val_dice=0.559232, infer_ms=2.595
epoch=5, train_loss=0.298059, val_miou=0.730087, val_dice=0.817467, infer_ms=2.556
epoch=6, train_loss=0.289303, val_miou=0.767225, val_dice=0.867948, infer_ms=2.609
epoch=7, train_loss=0.274138, val_miou=0.818585, val_dice=0.891623, infer_ms=2.587
epoch=8, train_loss=0.259592, val_miou=0.764057, val_dice=0.848151, infer_ms=2.579
epoch=9, train_loss=0.258782, val_miou=0.825316, val_dice=0.895495, infer_ms=2.562
epoch=10, train_loss=0.239782, val_miou=0.809109, val_dice=0.885387, infer_ms=2.567
epoch=11, train_loss=0.246453, val_miou=0.791602, val_dice=0.870855, infer_ms=2.571
epoch=12, train_loss=0.252388, val_miou=0.798607, val_dice=0.870887, infer_ms=2.580
epoch=13, train_loss=0.224039, val_miou=0.830032, val_dice=0.895376, infer_ms=2.582
epoch=14, train_loss=0.226893, val_miou=0.819154, val_dice=0.890794, infer_ms=2.580
epoch=15, train_loss=0.204277, val_miou=0.832657, val_dice=0.903047, infer_ms=2.554
epoch=16, train_loss=0.213295, val_miou=0.840941, val_dice=0.907131, infer_ms=2.590
epoch=17, train_loss=0.201891, val_miou=0.843143, val_dice=0.904675, infer_ms=2.596
epoch=18, train_loss=0.203218, val_miou=0.855689, val_dice=0.916116, infer_ms=2.572
epoch=19, train_loss=0.192609, val_miou=0.837122, val_dice=0.901676, infer_ms=2.564
epoch=20, train_loss=0.184669, val_miou=0.766991, val_dice=0.848093, infer_ms=2.598
epoch=21, train_loss=0.184759, val_miou=0.866057, val_dice=0.921238, infer_ms=2.583
epoch=22, train_loss=0.182291, val_miou=0.806018, val_dice=0.878982, infer_ms=2.601
epoch=23, train_loss=0.180824, val_miou=0.842585, val_dice=0.904564, infer_ms=2.597
epoch=24, train_loss=0.172179, val_miou=0.874725, val_dice=0.926686, infer_ms=2.610
epoch=25, train_loss=0.168959, val_miou=0.877007, val_dice=0.928449, infer_ms=2.617
epoch=26, train_loss=0.159525, val_miou=0.863316, val_dice=0.917546, infer_ms=2.611
epoch=27, train_loss=0.159902, val_miou=0.867098, val_dice=0.923018, infer_ms=2.602
epoch=28, train_loss=0.162591, val_miou=0.870427, val_dice=0.922827, infer_ms=2.588
epoch=29, train_loss=0.153925, val_miou=0.877276, val_dice=0.927744, infer_ms=2.567
epoch=30, train_loss=0.144076, val_miou=0.878702, val_dice=0.929930, infer_ms=2.614
epoch=31, train_loss=0.137498, val_miou=0.865498, val_dice=0.920811, infer_ms=2.585
epoch=32, train_loss=0.142939, val_miou=0.864745, val_dice=0.919992, infer_ms=2.586
epoch=33, train_loss=0.132753, val_miou=0.887638, val_dice=0.934688, infer_ms=2.594
epoch=34, train_loss=0.135251, val_miou=0.878535, val_dice=0.929480, infer_ms=2.599
epoch=35, train_loss=0.129672, val_miou=0.882977, val_dice=0.931828, infer_ms=2.616
epoch=36, train_loss=0.125816, val_miou=0.883008, val_dice=0.932090, infer_ms=2.624
epoch=37, train_loss=0.121980, val_miou=0.884676, val_dice=0.933033, infer_ms=2.620
epoch=38, train_loss=0.126751, val_miou=0.888433, val_dice=0.935235, infer_ms=2.618
epoch=39, train_loss=0.118130, val_miou=0.881255, val_dice=0.930505, infer_ms=2.608
epoch=40, train_loss=0.118062, val_miou=0.880193, val_dice=0.929763, infer_ms=2.646
epoch=41, train_loss=0.116288, val_miou=0.888219, val_dice=0.935417, infer_ms=2.598
epoch=42, train_loss=0.119263, val_miou=0.877480, val_dice=0.928046, infer_ms=2.614
epoch=43, train_loss=0.114583, val_miou=0.885509, val_dice=0.933341, infer_ms=2.624
epoch=44, train_loss=0.111850, val_miou=0.882624, val_dice=0.931199, infer_ms=2.572
epoch=45, train_loss=0.110919, val_miou=0.884133, val_dice=0.932566, infer_ms=2.606
epoch=46, train_loss=0.113647, val_miou=0.885328, val_dice=0.933290, infer_ms=2.577
epoch=47, train_loss=0.114089, val_miou=0.883419, val_dice=0.931914, infer_ms=2.612
epoch=48, train_loss=0.107592, val_miou=0.885941, val_dice=0.933676, infer_ms=2.560
epoch=49, train_loss=0.109840, val_miou=0.887557, val_dice=0.934713, infer_ms=2.625
